Delimiters (│) should align. [GRAPHEME w=3]
│───│═══════════════════
│𑄇𑄳𑄠𑄬│ 11107+11133+11120+1112C
│𑄈𑄳𑄠𑄬│ 11108+11133+11120+1112C
│𑄌𑄳𑄠𑄬│ 1110C+11133+11120+1112C
│𑄎𑄳𑄠𑄬│ 1110E+11133+11120+1112C
│𑄑𑄳𑄢𑄬│ 11111+11133+11122+1112C
│𑄖𑄳𑄠𑄬│ 11116+11133+11120+1112C
│𑄖𑄳𑄢𑄬│ 11116+11133+11122+1112C
│𑄘𑄳𑄠𑄬│ 11118+11133+11120+1112C
│𑄚𑄳𑄠𑄬│ 1111A+11133+11120+1112C
│𑄝𑄳𑄢𑄬│ 1111D+11133+11122+1112C
│𑄟𑄳𑄠𑄬│ 1111F+11133+11120+1112C
│𑄡𑄳𑄠𑄬│ 11121+11133+11120+1112C
│𑄣𑄳𑄦𑄬│ 11123+11133+11126+1112C
│ꦏ꧀ꦏ│ A98F+A9C0+A98F
│ꦏ꧀ꦏꦁ│ A98F+A9C0+A98F+A981
│ꦏ꧀ꦏꦼ│ A98F+A9C0+A98F+A9BC
│ꦏ꧀ꦔ│ A98F+A9C0+A994
│ꦏ꧀ꦔꦸ│ A98F+A9C0+A994+A9B8
│ꦏ꧀ꦕ│ A98F+A9C0+A995
│ꦏ꧀ꦠ│ A98F+A9C0+A9A0
│ꦏ꧀ꦠꦶ│ A98F+A9C0+A9A0+A9B6
│ꦏ꧀ꦠꦸ│ A98F+A9C0+A9A0+A9B8
│ꦏ꧀ꦢ│ A98F+A9C0+A9A2
│ꦏ꧀ꦢꦂ│ A98F+A9C0+A9A2+A982
│ꦏ꧀ꦢꦶ│ A98F+A9C0+A9A2+A9B6
│ꦏ꧀ꦤ│ A98F+A9C0+A9A4
│ꦏ꧀ꦤꦶꦁ│ A98F+A9C0+A9A4+A9B6+A981
│ꦏ꧀ꦥ│ A98F+A9C0+A9A5
│ꦏ꧀ꦥꦶ│ A98F+A9C0+A9A5+A9B6
│ꦏ꧀ꦧ│ A98F+A9C0+A9A7
│ꦏ꧀ꦧꦶ│ A98F+A9C0+A9A7+A9B6
│ꦏ꧀ꦩ│ A98F+A9C0+A9A9
│ꦏ꧀ꦩꦸ│ A98F+A9C0+A9A9+A9B8
│ꦏ꧀ꦪ│ A98F+A9C0+A9AA
│ꦏ꧀ꦭ│ A98F+A9C0+A9AD
│ꦏ꧀ꦮ│ A98F+A9C0+A9AE
│ꦏ꧀ꦱ│ A98F+A9C0+A9B1
│ꦏ꧀ꦱꦂ│ A98F+A9C0+A9B1+A982
│ꦏ꧀ꦱꦶ│ A98F+A9C0+A9B1+A9B6
│ꦏ꧀ꦱꦸ│ A98F+A9C0+A9B1+A9B8
│ꦏ꧀ꦲ│ A98F+A9C0+A9B2
│ꦏ꧀ꦲꦁ│ A98F+A9C0+A9B2+A981
│ꦏ꧀ꦲꦶꦁ│ A98F+A9C0+A9B2+A9B6+A981
│ꦏ꧀ꦲꦸ│ A98F+A9C0+A9B2+A9B8
│ꦒ꧀ꦒ│ A992+A9C0+A992
│ꦔ꧀ꦒꦼ│ A994+A9C0+A992+A9BC
│ꦔ꧀ꦭ│ A994+A9C0+A9AD
│ꦔ꧀ꦭꦁ│ A994+A9C0+A9AD+A981
│ꦔ꧀ꦭꦸ│ A994+A9C0+A9AD+A9B8
│ꦔ꧀ꦭꦼ│ A994+A9C0+A9AD+A9BC
│ꦚ꧀ꦕ│ A99A+A9C0+A995
│ꦚ꧀ꦕꦶ│ A99A+A9C0+A995+A9B6
│ꦚ꧀ꦗ│ A99A+A9C0+A997
│ꦚ꧀ꦗꦶ│ A99A+A9C0+A997+A9B6
│ꦚ꧀ꦗꦸꦁ│ A99A+A9C0+A997+A9B8+A981
│ꦚ꧀ꦗꦸꦂ│ A99A+A9C0+A997+A9B8+A982
│ꦠ꧀ꦏꦁ│ A9A0+A9C0+A98F+A981
│ꦠ꧀ꦏꦸ│ A9A0+A9C0+A98F+A9B8
│ꦠ꧀ꦒ│ A9A0+A9C0+A992
│ꦠ꧀ꦔꦸ│ A9A0+A9C0+A994+A9B8
│ꦠ꧀ꦚ│ A9A0+A9C0+A99A
│ꦠ꧀ꦠ│ A9A0+A9C0+A9A0
│ꦠ꧀ꦠꦶ│ A9A0+A9C0+A9A0+A9B6
│ꦠ꧀ꦠꦶꦁ│ A9A0+A9C0+A9A0+A9B6+A981
│ꦠ꧀ꦠꦸ│ A9A0+A9C0+A9A0+A9B8
│ꦠ꧀ꦤ│ A9A0+A9C0+A9A4
│ꦠ꧀ꦤꦶ│ A9A0+A9C0+A9A4+A9B6
│ꦠ꧀ꦩ│ A9A0+A9C0+A9A9
