Delimiters (│) should align. [GRAPHEME w=4]
│────│═══════════════════
│ꦏ꧀ꦏꦺ│ A98F+A9C0+A98F+A9BA
│ꦏ꧀ꦔꦿ│ A98F+A9C0+A994+A9BF
│ꦏ꧀ꦠꦺ│ A98F+A9C0+A9A0+A9BA
│ꦏ꧀ꦥꦿꦶ│ A98F+A9C0+A9A5+A9BF+A9B6
│ꦏ꧀ꦧꦺ│ A98F+A9C0+A9A7+A9BA
│ꦏ꧀ꦱꦺ│ A98F+A9C0+A9B1+A9BA
│ꦏ꧀ꦲꦺ│ A98F+A9C0+A9B2+A9BA
│ꦏ꧀ꦲꦺꦴ│ A98F+A9C0+A9B2+A9BA+A9B4
│ꦔ꧀ꦒꦿꦼꦁ│ A994+A9C0+A992+A9BF+A9BC+A981
│ꦠ꧀ꦠꦺ│ A9A0+A9C0+A9A0+A9BA
│ꦠ꧀ꦭꦺ│ A9A0+A9C0+A9AD+A9BA
│ꦠ꧀ꦱꦶꦃ│ A9A0+A9C0+A9B1+A9B6+A983
│ꦠ꧀ꦱꦾ│ A9A0+A9C0+A9B1+A9BE
│ꦠ꧀ꦲꦺꦴ│ A9A0+A9C0+A9B2+A9BA+A9B4
│ꦢ꧀ꦩꦺꦴ│ A9A2+A9C0+A9A9+A9BA+A9B4
│ꦤ꧀ꦔꦺ│ A9A4+A9C0+A994+A9BA
│ꦤ꧀ꦔꦿꦸ│ A9A4+A9C0+A994+A9BF+A9B8
│ꦤ꧀ꦛꦃ│ A9A4+A9C0+A99B+A983
│ꦤ꧀ꦝꦺꦁ│ A9A4+A9C0+A99D+A9BA+A981
│ꦤ꧀ꦝꦺꦴꦁ│ A9A4+A9C0+A99D+A9BA+A9B4+A981
│ꦤ꧀ꦠꦃ│ A9A4+A9C0+A9A0+A983
│ꦤ꧀ꦠꦺ│ A9A4+A9C0+A9A0+A9BA
│ꦤ꧀ꦢꦺ│ A9A4+A9C0+A9A2+A9BA
│ꦤ꧀ꦤꦺ│ A9A4+A9C0+A9A4+A9BA
│ꦤ꧀ꦥ꦳ꦺꦴꦂ│ A9A4+A9C0+A9A5+A9B3+A9BA+A9B4+A982
│ꦤ꧀ꦥꦿ│ A9A4+A9C0+A9A5+A9BF
│ꦤ꧀ꦥꦿꦶ│ A9A4+A9C0+A9A5+A9BF+A9B6
│ꦤ꧀ꦧꦺ│ A9A4+A9C0+A9A7+A9BA
│ꦤ꧀ꦧꦺꦴ│ A9A4+A9C0+A9A7+A9BA+A9B4
│ꦤ꧀ꦱꦃ│ A9A4+A9C0+A9B1+A983
│ꦤ꧀ꦱꦺꦴ│ A9A4+A9C0+A9B1+A9BA+A9B4
│ꦤ꧀ꦲꦺꦴ│ A9A4+A9C0+A9B2+A9BA+A9B4
│ꦥ꧀ꦥꦺ│ A9A5+A9C0+A9A5+A9BA
│ꦥ꧀ꦧꦺ│ A9A5+A9C0+A9A7+A9BA
│ꦥ꧀ꦫꦺ│ A9A5+A9C0+A9AB+A9BA
│ꦧ꧀ꦧꦺ│ A9A7+A9C0+A9A7+A9BA
│ꦩ꧀ꦠꦺꦴ│ A9A9+A9C0+A9A0+A9BA+A9B4
│ꦩ꧀ꦧꦃ│ A9A9+A9C0+A9A7+A983
│ꦩ꧀ꦧꦺ│ A9A9+A9C0+A9A7+A9BA
│ꦩ꧀ꦧꦺꦂ│ A9A9+A9C0+A9A7+A9BA+A982
│ꦩ꧀ꦧꦾꦸꦂ│ A9A9+A9C0+A9A7+A9BE+A9B8+A982
│ꦩ꧀ꦫꦃ│ A9A9+A9C0+A9AB+A983
│ꦭ꧀ꦭꦺ│ A9AD+A9C0+A9AD+A9BA
│ꦱ꧀ꦏꦿꦶ│ A9B1+A9C0+A98F+A9BF+A9B6
│ꦱ꧀ꦔꦿ│ A9B1+A9C0+A994+A9BF
│ꦱ꧀ꦠꦿ│ A9B1+A9C0+A9A0+A9BF
│ꦱ꧀ꦩꦿ│ A9B1+A9C0+A9A9+A9BF
│ꦱ꧀ꦱꦺ│ A9B1+A9C0+A9B1+A9BA
